TimeStep,Probe1_Ez,Probe2_Ez
513,0.0283393,1.98577e-06
514,0.0297015,3.76265e-06
515,0.0308545,7.02743e-06
516,0.0320732,1.29365e-05
517,0.0331073,2.34709e-05
518,0.0332972,4.1967e-05
519,0.0319474,7.39469e-05
520,0.0287783,0.00012839
521,0.0242358,0.000219632
522,0.0195057,0.000370145
523,0.0162282,0.000614478
524,0.0160353,0.00100471
525,0.0201022,0.00161775
526,0.0288747,0.00256475
527,0.0420411,0.00400279
528,0.0587143,0.00614859
529,0.0777122,0.00929362
530,0.0978136,0.0138191
531,0.117905,0.0202089
532,0.137002,0.0290556
533,0.154185,0.0410577
534,0.168503,0.0569984
535,0.178919,0.0777038
536,0.184299,0.103972
537,0.183488,0.136469
538,0.175465,0.175596
539,0.15961,0.221326
540,0.136023,0.273028
541,0.105832,0.329304
542,0.071357,0.387857
543,0.0359767,0.445453
544,0.00366708,0.497981
545,-0.021743,0.540681
546,-0.0373991,0.568534
547,-0.042088,0.576819
548,-0.0365349,0.561795
549,-0.0232377,0.521423
550,-0.00589121,0.456023
551,0.0114343,0.368723
552,0.0251437,0.265565
553,0.0328007,0.155161
554,0.0335121,0.047857
555,0.0279634,-0.0455412
556,0.0181297,-0.115334
557,0.00673984,-0.154527
558,-0.00339678,-0.16016
559,-0.0100702,-0.134042
560,-0.0122147,-0.0826684
561,-0.0101779,-0.0162197
562,-0.00560575,0.053239
563,-0.000919772,0.114044
564,0.00150802,0.157231
565,0.000237203,0.178306
566,-0.0046257,0.178031
567,-0.0113576,0.161975
568,-0.0171913,0.138887
569,-0.0193657,0.118259
570,-0.0162614,0.107716
571,-0.00815804,0.110934
572,0.00272514,0.126701
573,0.0129542,0.149401
574,0.0190988,0.170792
575,0.0189622,0.18257
576,0.0123332,0.178908
577,0.000976517,0.158186
578,-0.0121135,0.123357
579,-0.0238697,0.0808651
580,-0.0322521,0.0384736
581,-0.0368707,0.00280359
582,-0.0389332,-0.0225845
583,-0.0406018,-0.0379013
584,-0.0440719,-0.0464397
585,-0.0507639,-0.0528208
586,-0.0609307,-0.0609166
587,-0.073778,-0.0722968
588,-0.0879728,-0.0858193
589,-0.102267,-0.0984867
590,-0.115943,-0.107152
591,-0.128905,-0.110272
592,-0.141385,-0.108887
593,-0.153443,-0.106326
594,-0.164493,-0.106698
595,-0.173117,-0.112805
596,-0.177256,-0.124392
597,-0.174759,-0.137564
598,-0.16405,-0.145733
599,-0.144678,-0.141817
600,-0.117526,-0.120884
601,-0.0846504,-0.0822061
602,-0.0488832,-0.0299299
603,-0.013378,0.0278933
604,0.0187281,0.0815434
605,0.0445299,0.122296
606,0.0615511,0.14459
607,0.0680524,0.147049
608,0.0634726,0.132211
609,0.0488606,0.105294
610,0.027044,0.0725957
611,0.00231922,0.0401013
612,-0.0203753,0.0126192
613,-0.0366016,-0.00655333
614,-0.0435158,-0.0156279
615,-0.0405385,-0.0142163
616,-0.0293821,-0.00322735
617,-0.0134487,0.015263
618,0.00317882,0.038272
619,0.0168247,0.0623546
620,0.0250818,0.0841715
621,0.0272502,0.101026
622,0.0242953,0.111213
623,0.0183858,0.114125
624,0.0121536,0.110158
625,0.00786136,0.100542
